Trial,Optimizer,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Compression Factor,Time,Val Accuracy
22,Adam,3,relu,366,0.0003776918779132262,254,0.0003394169825468982,0.24984810830013038,0.75,73.42,51.89
23,Adam,4,tanh,3917,0.0007231046468883083,182,9.184889466691827e-05,0.19039758730115564,1.0,369.29,34.150000000000006
24,Adam,4,gelu,3419,0.0007395653497360143,77,0.00017169516402397659,0.11769674489800175,1.0,637.76,52.23
25,Adam,3,selu,4077,0.0009019969938499334,148,4.888788423521596e-05,0.18071199650950362,0.75,350.29,47.13
26,Adam,3,relu,908,0.00010398038156635202,95,2.145543936261148e-05,0.16351538187245584,0.75,96.8,54.279999999999994
27,Adam,3,tanh,2018,0.00027490537507045916,94,0.0007985840389389328,0.237779482015723,1.0,189.21,45.86
28,Adam,3,tanh,1109,0.0003953017348999615,218,0.0008931404964398677,0.1361705694080966,0.75,77.47,49.980000000000004
29,Adam,2,relu,643,0.00022305456089944498,79,2.2337596678957877e-05,0.2320024609972391,0.75,110.09,53.66
30,Adam,2,selu,2564,0.000253273613580448,318,0.00022026743587892002,0.12425248420662166,1.0,229.07,55.42
31,Adam,6,gelu,879,0.00033541051428365447,134,4.605217045057012e-05,0.10167307845948273,0.5,76.41,53.65
32,Adam,4,elu,1127,0.00015734396074527208,285,2.2425783905531616e-05,0.25632943461994406,0.75,108.21,55.75
33,Adam,6,elu,1626,0.00011039680625612395,68,0.00022535833703004154,0.16197626242736587,0.75,288.31,55.059999999999995
34,Adam,5,tanh,1474,0.00020813754821403884,253,0.00017550389424921713,0.2614118204561571,1.0,176.17,51.339999999999996
35,Adam,2,tanh,521,0.0005099508516007459,130,0.00015525390511321512,0.17381807735685578,1.0,95.32,50.73
36,Adam,6,gelu,356,0.0004630899434981065,144,0.00013165668754867038,0.21919954594203458,0.75,111.9,52.62
37,Adam,5,elu,805,0.0001350192350927223,96,1.5249991059970138e-05,0.12836419805462862,1.0,119.12,54.900000000000006
38,Adam,6,tanh,379,0.0007031605933435897,407,2.260488866501957e-05,0.2311891761050992,1.0,65.52,49.730000000000004
39,Adam,4,elu,670,0.0001242677495645896,431,0.00010426172785686744,0.1904147636896216,0.5,93.76,54.669999999999995
40,Adam,1,gelu,2122,0.0003703698415100135,272,1.1801383936523034e-05,0.2562036966158789,0.75,77.88,53.59
41,Adam,3,gelu,3070,0.000847499098323824,302,9.565175666229652e-05,0.1577864371164174,1.0,146.21,51.980000000000004
42,Adam,6,tanh,827,0.000363614620958249,433,0.0007334200960707797,0.16382462318095464,0.75,98.16,51.129999999999995
43,Adam,1,relu,582,0.0007619588464161639,150,4.102077819183716e-05,0.22080007266525759,1.0,66.14,48.67
44,Adam,5,gelu,1050,0.0007293934172254661,208,1.8780281097974704e-05,0.1639995431290206,1.0,82.88,51.59
45,Adam,1,selu,361,0.0005104448473146922,118,3.6969655744485226e-05,0.17402800223203357,0.5,73.02,50.660000000000004
46,Adam,2,gelu,2684,0.00013107445649984589,89,6.773792107089708e-05,0.2320873182399286,1.0,164.34,55.32
1,Adam,6,selu,669,0.00026349735203719347,81,0.0006740402863707973,0.13343128948939748,1.0,168.23,49.68
1,Adam,3,selu,1117,0.0009048986156653488,107,0.0007591643633292985,0.2799747438817086,0.5,57.5,39.589999999999996
2,Adam,1,gelu,1266,0.0005654589004300633,76,0.0003879585475320786,0.24925564527660163,0.75,123.08,47.43
3,Adam,2,elu,410,0.00011588940261610929,307,0.000458867376659268,0.2064319469256271,1.0,97.51,52.290000000000006
