Trial,Optimizer,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Compression Factor,Time,Val Accuracy
186,Adam,5,gelu,837,0.0006646349805445906,65,3.656594706316332e-05,0.20597332578854763,0.75,134.95,50.61
187,Adam,4,selu,939,0.00011422481431927437,90,0.00014504030057083892,0.2865762508488152,0.75,196.07,54.92
188,Adam,1,selu,694,0.0004245399195468362,362,0.0001346538552684531,0.14263711102668336,0.75,45.16,50.77
189,Adam,2,tanh,2508,0.0007953814317998931,469,0.00024069218630404422,0.27451647733680185,0.5,114.38,47.06
190,Adam,2,gelu,327,0.0001199661267169683,303,0.0001230517087249357,0.20734786737205768,0.75,66.48,54.14
191,Adam,2,elu,433,0.0004593548934545316,325,9.576714822182245e-05,0.14984903104751324,0.75,54.34,54.059999999999995
192,Adam,4,gelu,312,0.0003616071061939013,97,1.5406978295244325e-05,0.17213421276998483,0.5,83.74,51.28
193,Adam,2,relu,651,0.00010262098804327616,116,4.466613106869037e-05,0.10502785957402672,0.75,73.38,54.400000000000006
194,Adam,3,selu,411,0.0005747039685342226,103,2.8507007487510097e-05,0.1442327682221487,0.75,71.27,53.410000000000004
195,Adam,6,relu,2758,0.00025882951335558647,157,3.770848890826159e-05,0.2572139632889,0.75,288.02,53.580000000000005
196,Adam,5,gelu,382,0.00016772329868856655,293,5.400338447720838e-05,0.17861799824745916,0.75,59.57,55.00000000000001
197,Adam,4,gelu,620,0.0007878806880686609,75,4.212161184521602e-05,0.275587412323242,0.5,89.36,46.01
198,Adam,5,tanh,3000,0.000867800401782017,226,1.1329132897592815e-05,0.24274451674172517,0.75,202.18,16.520000000000003
199,Adam,4,gelu,1807,0.00011927250029170935,166,0.0005541938623580347,0.14784414167311916,1.0,233.9,54.7
200,Adam,4,tanh,1680,0.0001342582290138607,355,1.6064987181094337e-05,0.10819429639379935,0.75,88.5,54.24
