Trial,Val_Accuracy,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Time
30,48.88,1,tanh,1024,4.141914555416861e-05,96,1.877099170737552e-05,0.4757359325194802,194.8
31,36.49,2,gelu,1536,0.0011892361692200746,128,0.0066780177411051465,0.32734413316527605,69.38
32,33.32,3,relu,1536,0.0027500999288178397,64,0.0002408223049402493,0.22687250490932437,67.68
1,52.449999999999996,1,gelu,1536,1.2011976980114404e-05,128,0.00010415670464469113,0.11888051381629139,179.87
2,23.41,1,tanh,1536,0.0024529357577046927,64,0.0001520643423784918,0.15157887364709174,37.87
3,50.51,4,tanh,512,0.00025408659655218996,128,4.172565538756665e-05,0.288080353427841,107.72
4,55.169999999999995,4,relu,1536,8.656988986544491e-05,96,1.1241979374228202e-05,0.33368758604256843,214.54
5,45.839999999999996,1,relu,1536,0.0005839239915918308,96,0.0019774284325797913,0.14573460481924672,95.35
6,42.91,1,gelu,1536,0.0008507237683953754,128,0.0005292259172205332,0.3906906035106473,58.85
7,47.06,1,elu,512,1.5878082146871736e-05,64,4.668439980234619e-05,0.4709572074007339,257.96
8,26.14,1,tanh,1536,0.002421680603650362,64,0.00017759522721700894,0.32879550926417833,57.73
9,45.67,4,selu,1024,0.0010024392125412966,96,0.0002507124524057926,0.10976941974031007,87.23
10,49.97,3,relu,1024,0.00010362699994021096,64,0.00522914995098141,0.2571452345965566,138.08
11,54.64,4,relu,1024,2.346469894774004e-05,96,4.299977326096561e-05,0.13852874591576764,110.01
12,51.41,2,selu,512,0.00039370978795427486,64,0.0002228847511519434,0.30488394835002275,155.73
13,49.059999999999995,4,gelu,1536,8.73593075862372e-05,64,0.0025326097568240773,0.3507848254568242,349.61
14,31.78,4,elu,512,0.0021104836698446453,64,0.00025778885791761803,0.397134815299768,42.19
15,45.62,4,selu,1536,0.0006530340019483854,128,0.00010347295131404151,0.464982503271107,98.9
16,54.31,1,gelu,512,3.599335560166218e-05,96,5.339871550898381e-05,0.46138079019114786,181.56
17,27.77,4,elu,1536,0.0024105940014389313,96,0.0048918548273394515,0.10984590393248778,65.58
18,28.16,3,selu,1024,0.001722725104568199,128,0.00941779513712407,0.2273697241131669,39.58
